STATEFID,STATE,POPULATION
1,AL,4903185
2,AK,731545
5,AR,3017804
6,CA,39512223
8,CO,5758736
9,CT,"3,565,287"
10,DE,"973,764"
11,DC,712816
12,FL,"21,477,737"
15,HI,"1,415,872"
16,ID,"1,787,065"
17,IL,"12,671,821"
18,IN,"6,732,219"
21,KY,"4,467,673"
22,LA,"4,648,794"
24,MD,"6,045,680"
25,MA,"6,892,503"
26,MI,"9,986,857"
27,MN,"5,639,632"
28,MS,"2,976,149"
29,MO,"6,137,428"
30,MT,"1,068,778"
31,NE,"1,934,408"
32,NV,"3,080,156"
34,NJ,"8,882,190"
35,NM,"2,096,829"
36,NY,"19,453,561"
37,NC,"10,488,084"
38,ND,"762,062"
39,OH,"11,689,100"
40,OK,"3,956,971"
41,OR,"4,217,737"
42,PA,"12,801,989"
44,RI,"1,059,361"
45,SC,"5,148,714"
46,SD,"884,659"
47,TN,"6,829,174"
48,TX,"28,995,881"
49,UT,"3,205,958"
50,VT,"623,989"
51,VA,"8,535,519"
53,WA,"7,614,893"
55,WI,"5,822,434"
56,WY,"582,328"
72,PR,"3,282,000"